"id","type","mass","i:0","i:1","i:2","v:0","v:1","v:2","f:0","f:1","f:2","radius","Points:0","Points:1","Points:2"
96,1,0.023028,0,0,0,3.8733e-14,4.3076e-14,6.2117e-14,-1.0004e-11,-2.1643e-11,-2.3647e-11,0.00568,0.0050714,0.005058,0.0047129
61,1,0.028664,0,0,0,8.5427e-14,1.1605e-13,3.5077e-14,1.3642e-12,-9.7771e-12,1.0914e-11,0.00611,0.028009,0.0050435,0.0040316
81,1,0.025158,0,0,0,1.07e-13,1.9058e-13,4.2383e-14,-3.0923e-11,1.819e-12,-4.0018e-11,0.00585,0.015809,0.0062545,0.0040459
32,1,0.035151,0,0,0,1.6599e-13,3.4216e-13,8.447e-14,3.3651e-11,1.819e-12,3.638e-11,0.00654,0.022245,0.0087159,0.012172
108,1,0.019788,0,0,0,1.1762e-13,4.6223e-14,7.2361e-14,-4.0927e-12,-2.0179e-12,-3.638e-12,0.0054,0.039103,0.0047704,0.0039179
121,1,0.016768,0,0,0,2.4611e-13,8.0952e-14,2.4679e-13,-1.5916e-11,-2.4556e-11,-5.457e-11,0.00511,0.044116,0.010302,0.010026
100,1,0.021599,0,0,0,3.4717e-14,5.0264e-14,1.1922e-13,2.5011e-12,-2.3988e-11,1.0914e-11,0.00556,0.049939,0.0049242,0.0039949
120,1,0.017065,0,0,0,3.1354e-14,5.4623e-14,1.0014e-13,8.2423e-12,1.7963e-11,-2.7285e-11,0.00514,0.052765,0.0047758,0.012874
110,1,0.01946,0,0,0,3.3035e-14,2.2451e-14,-2.8519e-14,1.7963e-11,1.0914e-11,-3.638e-12,0.00537,0.060683,0.005164,0.0045261
18,1,0.039687,0,0,0,4.4834e-14,-7.6702e-14,-2.1652e-13,1.5802e-11,-3.638e-12,2.9104e-11,0.00681,0.070837,0.010852,0.0051231
17,1,0.040568,0,0,0,3.0573e-13,1.1719e-14,1.031e-14,-8.1855e-12,7.617e-11,-2.0918e-11,0.00686,0.06056,0.013246,0.012637
70,1,0.027416,0,0,0,2.0377e-13,-4.2937e-14,-1.3314e-13,8.046e-12,-1.5007e-11,1.819e-12,0.00602,0.083491,0.0054434,0.0053836
97,1,0.022306,0,0,0,1.443e-13,1.7018e-14,-4.9553e-14,7.9012e-12,2.0464e-12,1.4552e-11,0.00562,0.095028,0.0052395,0.0039451
3,1,0.059634,0,0,0,1.8174e-13,1.7406e-13,1.2838e-13,-1.4325e-11,3.4674e-11,-1.2005e-10,0.0078,0.0080997,0.017705,0.0059244
68,1,0.02769,0,0,0,6.2002e-14,1.7608e-13,1.2806e-13,-1.3642e-11,3.3651e-11,-5.457e-11,0.00604,0.020115,0.025632,0.0040427
76,1,0.026738,0,0,0,2.1742e-13,1.2954e-13,3.4002e-14,1.2562e-11,-1.7735e-11,-2.9104e-11,0.00597,0.028083,0.01673,0.005382
94,1,0.023518,0,0,0,1.9418e-13,5.6838e-14,1.0988e-13,-2.1373e-11,1.8645e-11,-3.2742e-11,0.00572,0.03315,0.026752,0.0042508
111,1,0.018603,0,0,0,1.0097e-13,1.3603e-13,2.2818e-13,-3.6948e-13,-1.4552e-11,3.638e-11,0.00529,0.040188,0.016131,0.0034537
46,1,0.032176,0,0,0,3.2786e-13,1.8445e-13,2.9066e-13,4.6384e-11,-1.819e-11,-3.7744e-11,0.00635,0.038129,0.020161,0.012068
33,1,0.035151,0,0,0,1.6986e-13,1.1249e-13,1.3182e-13,-7.7307e-12,-2.6148e-12,-1.0914e-11,0.00654,0.051377,0.016617,0.0047884
127,1,0.015708,0,0,0,3.0089e-13,1.3376e-13,7.6055e-14,-3.3651e-11,-2.7057e-11,3.0241e-11,0.005,0.054742,0.024255,0.011809
90,1,0.024266,0,0,0,1.7332e-13,1.5565e-14,-1.4412e-14,3.547e-11,1.3415e-11,3.638e-12,0.00578,0.062747,0.019762,0.0038169
79,1,0.026604,0,0,0,5.595e-13,3.9886e-14,-5.6932e-14,4.7748e-11,-2.9104e-11,-6.0936e-11,0.00596,0.065083,0.025432,0.012241
24,1,0.037626,0,0,0,1.8933e-13,5.046e-14,-1.2162e-13,4.6711e-11,6.3665e-12,3.2742e-11,0.00669,0.074156,0.023828,0.0050811
119,1,0.017365,0,0,0,1.8025e-13,2.7559e-15,-1.5233e-13,1.6371e-11,2.2737e-12,1.819e-11,0.00517,0.082593,0.015895,0.0033336
66,1,0.027966,0,0,0,3.8097e-13,7.3284e-14,-2.9244e-13,9.3223e-11,-9.0949e-13,-1.4552e-11,0.00606,0.085249,0.024777,0.0094437
13,1,0.042734,0,0,0,1.9703e-13,2.5235e-14,-1.3456e-13,3.5925e-11,-4.3201e-12,-4.7294e-11,0.00698,0.093787,0.017179,0.005537
64,1,0.027966,0,0,0,1.4005e-13,2.0168e-13,9.463e-14,-7.0486e-12,-1.4097e-11,-3.638e-12,0.00606,0.0054029,0.031048,0.0046132
49,1,0.031572,0,0,0,2.3916e-13,3.163e-13,2.6456e-13,6.5938e-12,7.0941e-11,3.6835e-11,0.00631,0.0090045,0.039801,0.010331
125,1,0.016088,0,0,0,1.7811e-13,2.7971e-13,2.4726e-13,-1.819e-12,-1.7849e-11,-8.8676e-12,0.00504,0.014647,0.030829,0.010788
114,1,0.018497,0,0,0,9.7027e-14,2.343e-13,1.5268e-13,-3.8199e-11,8.8107e-12,-4.0018e-11,0.00528,0.015921,0.036943,0.0035398
5,1,0.0556,0,0,0,1.4669e-13,3.0376e-13,2.0165e-13,4.1496e-12,-5.1614e-11,-1.9099e-11,0.00762,0.02666,0.036481,0.0071095
118,1,0.017568,0,0,0,1.087e-13,2.023e-13,1.4708e-13,-2.4102e-11,-1.9782e-11,1.4552e-11,0.00519,0.038018,0.038018,0.0032889
4,1,0.055819,0,0,0,3.4781e-13,3.0583e-13,8.1965e-14,1.105e-10,-1.3051e-10,-6.3665e-11,0.00763,0.041412,0.041191,0.012909
6,1,0.054297,0,0,0,2.2714e-13,1.1636e-13,1.3031e-13,-7.9581e-12,4.5475e-12,-3.638e-12,0.00756,0.0457,0.029011,0.0056044
107,1,0.019898,0,0,0,2.3571e-13,8.0344e-14,-5.5031e-14,-3.547e-11,-1.1141e-11,3.638e-11,0.00541,0.048825,0.041299,0.0038633
48,1,0.031722,0,0,0,3.5592e-13,1.8541e-13,-7.1408e-14,-1.1005e-10,2.1828e-11,-1.2278e-11,0.00632,0.053427,0.036877,0.012183
62,1,0.028523,0,0,0,3.1543e-13,-1.2109e-14,-5.3556e-14,-1.9554e-11,-1.1823e-11,-1.819e-11,0.0061,0.060167,0.042253,0.0045138
47,1,0.031873,0,0,0,2.1827e-13,3.9802e-14,-2.5916e-14,5.7813e-11,-8.4128e-12,0,0.00633,0.058975,0.030397,0.0046132
82,1,0.025158,0,0,0,3.0504e-13,4.1392e-14,-7.5411e-14,3.3197e-11,6.9633e-12,4.0018e-11,0.00585,0.069685,0.035147,0.0044206
131,1,0.013984,0,0,0,6.4957e-13,1.712e-13,-9.0907e-14,3.2287e-11,2.8649e-11,2.1146e-11,0.00481,0.064102,0.035614,0.012589
31,1,0.035151,0,0,0,3.1549e-13,-3.8425e-14,-1.716e-13,6.4347e-11,7.7307e-12,-1.4552e-11,0.00654,0.081776,0.035015,0.0049486
117,1,0.017568,0,0,0,5.8767e-13,-6.4089e-14,-2.3993e-13,8.049e-11,-3.0127e-12,7.9581e-11,0.00519,0.074847,0.041917,0.010067
73,1,0.027279,0,0,0,2.6676e-13,2.4633e-14,-2.2909e-14,8.0604e-11,1.3188e-11,2.1828e-11,0.00601,0.094663,0.031868,0.0039234
245,1,0.018815,0,0,0,6.9662e-13,-4.2375e-14,-1.0464e-13,1.2824e-10,-2.2737e-11,-8.7311e-11,0.00531,0.090912,0.037648,0.010609
128,1,0.015708,0,0,0,1.2222e-14,2.0372e-13,6.3152e-14,7.1623e-12,1.728e-11,5.457e-12,0.005,0.0043189,0.045638,0.0038299
42,1,0.033097,0,0,0,1.9029e-13,1.4741e-13,2.0307e-13,2.3874e-11,-7.7307e-12,8.0036e-11,0.00641,0.016797,0.048232,0.0049339
39,1,0.033564,0,0,0,2.0781e-13,2.8311e-14,1.1123e-13,4.1837e-11,-5.2751e-11,-4.7294e-11,0.00644,0.029427,0.047947,0.0046161
44,1,0.032481,0,0,0,1.8911e-13,1.2248e-13,2.8022e-14,1.728e-11,-6.5938e-12,-5.0932e-11,0.00637,0.042255,0.05085,0.0043082
